"i"tracking_record_id""	"date_time"	"user_gui"	"campaign_id"	"product_gui"	"company"	"link"	"tracking_id"	"meio"	"ip"	"browser"	"session_id"	"referer"	"cookie_id"
"5922719"	"2012-01-0100:22:24"	""	""	"/destaques/prod1103.html"	"ljv"	"http://www.loja21.pt/destaques/prod1103.html"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"a1ils3inahkk684lhh586glvk4"	"http://www.loja21.pt/destaques/prod1103.html"	"8bd84281-57a2-4e51-acea-87d6e2e5a20f"
"5922720"	"2012-01-0100:22:41"	""	""	"tecnologia"	"ljv"	"http://www.loja21.pt/tecnologia.html"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"umkk748spvrbecgof3vit830m6"	"http://www.loja21.pt/tecnologia.html"	"31311b70-78c0-471f-ba2e-269f00b29a04"
"5922721"	"2012-01-0100:23:22"	""	""	"/customer/account/login/"	"ljv"	"http://www.loja21.pt/customer/account/login/"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"gto8ua4s9inf3nk0rbr18srs40"	"http://www.loja21.pt/customer/account/login/"	"74627039-ec27-47de-bc53-aea9af77c57f"
"5922722"	"2012-01-0100:23:43"	""	""	"/customer/account/login/"	"ljv"	"http://www.loja21.pt/customer/account/login/"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"05o5118bk5fiqgm7j40a58nbu1"	"http://www.loja21.pt/customer/account/login/"	"bb13c83e-8668-4982-b4ea-ecf31e5fdf07"
"5922723"	"2012-01-0100:23:48"	""	""	"/customer/account/login/"	"ljv"	"http://www.loja21.pt/customer/account/login/"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"m80lha659jmg1qlc3r630qjqv4"	"http://www.loja21.pt/customer/account/login/"	"2f8dfa48-f9d9-4f04-8d97-d645b0b4947e"
"5922724"	"2012-01-0100:23:54"	""	""	"/customer/account/login/"	"ljv"	"http://www.loja21.pt/customer/account/login/"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"n1msd84bd0r096uiimu8il48j7"	"http://www.loja21.pt/customer/account/login/"	"6e403e72-500b-458d-aa35-b4c4373c73bc"
"5922725"	"2012-01-0100:24:03"	""	""	"/customer/account/login/"	"ljv"	"http://www.loja21.pt/customer/account/login/"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"od0ka26s2kire63m6c77s3rdl3"	"http://www.loja21.pt/customer/account/login/"	"1612884d-58da-406a-b007-33983e82adac"
"5922726"	"2012-01-0100:24:10"	""	""	"/customer/account/login/"	"ljv"	"http://www.loja21.pt/customer/account/login/"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"itctriv4fcb62598eg1a3684j5"	"http://www.loja21.pt/customer/account/login/"	"c77f1c88-2911-47f1-8e50-b4a58aa92df4"
"5922727"	"2012-01-0100:24:14"	"0a2654be-d05c-41c3-84df-29148e080722"	"eol*vtp30112011"	"open"	"eol"	""	"ascii"	"dmzr"	"92.250.106.3"	"mozilla/5.0(windows;u;windowsnt6.1;pt-pt;rv:1.9.2.13)gecko/20101203btrs28059firefox/3.6.13"	"f6bggufsdv9vk9sm030erac453"	""	"e597aa70-c8fc-4102-bc97-f76f2ebbae0e"
"5922728"	"2012-01-0100:24:16"	"gnghif62qzyyronmp7e09rontu95ll6m"	"lon*pdd29122011"	"open"	"lon"	""	"ascii"	"dmzr"	"46.189.157.177"	"mozilla/5.0(iphone;cpuiphoneos5_0_1likemacosx)applewebkit/534.46(khtml,likegecko)"	"6cpv6gpeo1re7s9ne8jkjbvm83"	""	"59c77449-67e8-4de9-b4e1-095fe84b1254"
